"id","fifaId","name","firstName","lastName","knownName","position","price","squadId","team","teamAbbr","group","status","matchStatus","percentSelected","totalPoints","avgPoints","form","lastRoundPoints","oneToWatch","nextFixtureId","nextFixture","nextFixtureDate","nextFixtureVenue","nextFixtureCity"
"855",,"Erling Haaland","Erling","Haaland",,"FWD","10.5","32","Norway","NOR","i","playing",,"33.5","0","0","0","0","False","18","IRQ v NOR","2026-06-16T23:00:00+01:00","Gillette Stadium","Foxborough, Massachusetts"
"468",,"Harry Kane","Harry","Kane",,"FWD","10.5","18","England","ENG","l","playing",,"37.6","0","0","0","0","False","22","ENG v CRO","2026-06-17T21:00:00+01:00","At&t Stadium","Arlington, Texas"
"500",,"Kylian Mbappé","Kylian","Mbappé",,"FWD","10.5","19","France","FRA","i","playing",,"50.6","0","0","0","0","False","17","FRA v SEN","2026-06-16T20:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"1573",,"Cristiano Ronaldo","Cristiano Ronaldo","dos Santos Aveiro","Cristiano Ronaldo","FWD","10","35","Portugal","POR","k","playing",,"12.7","0","0","0","0","False","21","POR v COD","2026-06-17T18:00:00+01:00","Nrg Stadium","Houston, Texas"
"38",,"Lionel Messi","Lionel","Messi",,"FWD","10","2","Argentina","ARG","j","playing",,"18","0","0","0","0","False","19","ARG v ALG","2026-06-17T02:00:00+01:00","Geha Field At Arrowhead Stadium","Kansas City, Missouri"
"1092",,"Lamine Yamal","Lamine Yamal","Nasraoui Ebana","Lamine Yamal","MID","10","41","Spain","ESP","h","playing",,"45.2","0","0","0","0","False","13","ESP v CPV","2026-06-15T17:00:00+01:00","Mercedes-benz Stadium","Atlanta, Georgia"
"1597",,"Mohamed Salah","Mohamed","Salah Hamed Mahrous Ghaly","Mohamed Salah","MID","10","17","Egypt","EGY","g","playing",,"5.8","0","0","0","0","False","14","BEL v EGY","2026-06-15T20:00:00+01:00","Lumen Field","Seattle, Washington"
"501",,"Ousmane Dembélé","Ousmane","Dembélé",,"MID","10","19","France","FRA","i","playing",,"19.5","0","0","0","0","False","17","FRA v SEN","2026-06-16T20:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"173",,"Vinícius Júnior","Vinícius José","Paixão de Oliveira Júnior","Vinícius Júnior","MID","10","7","Brazil","BRA","c","playing",,"14.1","0","0","0","0","False","6","BRA v MAR","2026-06-13T23:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"469",,"Bukayo Saka","Bukayo","Saka",,"MID","9.5","18","England","ENG","l","playing",,"6","0","0","0","0","False","22","ENG v CRO","2026-06-17T21:00:00+01:00","At&t Stadium","Arlington, Texas"
"517",,"Michael Olise","Michael","Olise",,"MID","9.5","19","France","FRA","i","playing",,"23.1","0","0","0","0","False","17","FRA v SEN","2026-06-16T20:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"1338",,"Lautaro Martínez","Lautaro","Martínez","Lautaro Martínez","FWD","8.8","2","Argentina","ARG","j","playing",,"3.9","0","0","0","0","False","19","ARG v ALG","2026-06-17T02:00:00+01:00","Geha Field At Arrowhead Stadium","Kansas City, Missouri"
"39",,"Julián Alvarez","Julián","Alvarez",,"FWD","8.6","2","Argentina","ARG","j","playing",,"16.3","0","0","0","0","False","19","ARG v ALG","2026-06-17T02:00:00+01:00","Geha Field At Arrowhead Stadium","Kansas City, Missouri"
"939",,"Bruno Fernandes","Bruno Miguel","Borges Fernandes","Bruno Fernandes","MID","8.5","35","Portugal","POR","k","playing",,"49.3","0","0","0","0","False","21","POR v COD","2026-06-17T18:00:00+01:00","Nrg Stadium","Houston, Texas"
"491",,"Jude Bellingham","Jude","Bellingham",,"MID","8.3","18","England","ENG","l","playing",,"9.5","0","0","0","0","False","22","ENG v CRO","2026-06-17T21:00:00+01:00","At&t Stadium","Arlington, Texas"
"1366",,"Raphinha","Raphael","Dias Belloli","Raphinha","MID","8.2","7","Brazil","BRA","c","playing",,"21.2","0","0","0","0","False","6","BRA v MAR","2026-06-13T23:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"1094",,"Mikel Oyarzabal","Mikel","Oyarzabal",,"FWD","8.1","41","Spain","ESP","h","playing",,"16.6","0","0","0","0","False","13","ESP v CPV","2026-06-15T17:00:00+01:00","Mercedes-benz Stadium","Atlanta, Georgia"
"256",,"Luis Díaz","Luis","Díaz",,"MID","8.1","10","Colombia","COL","k","playing",,"18.8","0","0","0","0","False","24","UZB v COL","2026-06-18T03:00:00+01:00","Estadio Banorte","Mexico City"
"1106",,"Pedri","Pedro","González López","Pedri","MID","8.1","41","Spain","ESP","h","playing",,"9.7","0","0","0","0","False","13","ESP v CPV","2026-06-15T17:00:00+01:00","Mercedes-benz Stadium","Atlanta, Georgia"
"1520",,"Alexander Isak","Alexander","Isak",,"FWD","8","42","Sweden","SWE","f","playing",,"3.3","0","0","0","0","False","12","SWE v TUN","2026-06-15T03:00:00+01:00","Estadio Bbva","Guadalupe"
"1431",,"Bradley Barcola","Bradley","Barcola",,"MID","8","19","France","FRA","i","playing",,"1.5","0","0","0","0","False","17","FRA v SEN","2026-06-16T20:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"1710",,"Eberechi Eze","Eberechi","Eze",,"MID","8","18","England","ENG","l","playing",,"1.6","0","0","0","0","False","22","ENG v CRO","2026-06-17T21:00:00+01:00","At&t Stadium","Arlington, Texas"
"1600",,"Jamal Musiala","Jamal","Musiala",,"MID","8","20","Germany","GER","e","playing",,"12.3","0","0","0","0","False","9","GER v CUW","2026-06-14T18:00:00+01:00","Nrg Stadium","Houston, Texas"
"516",,"Rayan Cherki","Rayan","Cherki",,"MID","8","19","France","FRA","i","playing",,"7.7","0","0","0","0","False","17","FRA v SEN","2026-06-16T20:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"1711",,"Ollie Watkins","Ollie","Watkins",,"FWD","7.9","18","England","ENG","l","playing",,"1.5","0","0","0","0","False","22","ENG v CRO","2026-06-17T21:00:00+01:00","At&t Stadium","Arlington, Texas"
"1093",,"Ferran Torres","Ferran","Torres",,"FWD","7.8","41","Spain","ESP","h","playing",,"3.3","0","0","0","0","False","13","ESP v CPV","2026-06-15T17:00:00+01:00","Mercedes-benz Stadium","Atlanta, Georgia"
"528",,"Kai Havertz","Kai","Havertz",,"FWD","7.8","20","Germany","GER","e","playing",,"9.7","0","0","0","0","False","9","GER v CUW","2026-06-14T18:00:00+01:00","Nrg Stadium","Houston, Texas"
"445",,"Omar Marmoush","Omar Khaled Mohamed Abdelsalam","Marmoush","Omar Marmoush","FWD","7.8","17","Egypt","EGY","g","playing",,"2.3","0","0","0","0","False","14","BEL v EGY","2026-06-15T20:00:00+01:00","Lumen Field","Seattle, Washington"
"1124",,"Viktor Gyökeres","Viktor","Gyökeres",,"FWD","7.8","42","Sweden","SWE","f","playing",,"6.2","0","0","0","0","False","12","SWE v TUN","2026-06-15T03:00:00+01:00","Estadio Bbva","Guadalupe"
"1572",,"Bernardo Silva","Bernardo","Mota Veiga de Carvalho e Silva","Bernardo Silva","MID","7.8","35","Portugal","POR","k","playing",,"2.4","0","0","0","0","False","21","POR v COD","2026-06-17T18:00:00+01:00","Nrg Stadium","Houston, Texas"
"2000",,"Nico Williams","Nico","Williams",,"MID","7.8","41","Spain","ESP","h","playing",,"3.9","0","0","0","0","False","13","ESP v CPV","2026-06-15T17:00:00+01:00","Mercedes-benz Stadium","Atlanta, Georgia"
"1574",,"Rafael Leão","Rafael Alexandre","da Conceição Leão","Rafael Leão","MID","7.8","35","Portugal","POR","k","playing",,"2","0","0","0","0","False","21","POR v COD","2026-06-17T18:00:00+01:00","Nrg Stadium","Houston, Texas"
"804",,"Cody Gakpo","Cody","Gakpo",,"FWD","7.7","30","Netherlands","NED","f","playing",,"3.1","0","0","0","0","False","10","NED v JPN","2026-06-14T21:00:00+01:00","At&t Stadium","Arlington, Texas"
"1105",,"Dani Olmo","Dani","Olmo",,"MID","7.7","41","Spain","ESP","h","playing",,"3","0","0","0","0","False","13","ESP v CPV","2026-06-15T17:00:00+01:00","Mercedes-benz Stadium","Atlanta, Georgia"
"1684",,"Martin Ødegaard","Martin","Ødegaard",,"MID","7.7","32","Norway","NOR","i","playing",,"4.4","0","0","0","0","False","18","IRQ v NOR","2026-06-16T23:00:00+01:00","Gillette Stadium","Foxborough, Massachusetts"
"1696",,"Sadio Mané","Sadio","Mané",,"MID","7.6","39","Senegal","SEN","i","playing",,"2","0","0","0","0","False","17","FRA v SEN","2026-06-16T20:00:00+01:00","Metlife Stadium","East Rutherford, New Jersey"
"1149",,"Breel Embolo","Breel","Embolo",,"FWD","7.5","43","Switzerland","SUI","b","playing",,"2.5","0","0","0","0","False","5","QAT v SUI","2026-06-13T20:00:00+01:00","Levi's Stadium","Santa Clara, California"
"1236",,"Darwin Núñez","Darwin","Núñez",,"FWD","7.5","46","Uruguay","URU","h","playing",,"1.6","0","0","0","0","False","15","KSA v URU","2026-06-15T23:00:00+01:00","Hard Rock Stadium","Miami Gardens, Florida"
